id,nome,siglaUf,siglaPartido,idLegislatura
204562,Edilázio Júnior,MA,PSD,56
141417,Edio Lopes,RR,PL,56
204421,Edna Henrique,PB,PSDB,56
74655,Eduardo Barbosa,MG,PSDB,56
204541,Eduardo Bismarck,CE,PDT,56
92346,Eduardo Bolsonaro,SP,PSL,56
204500,Eduardo Costa,PA,PTB,56
178977,Eduardo Cury,SP,PSDB,56
141421,Eduardo da Fonte,PE,PP,56
141422,Efraim Filho,PB,DEM,56
74075,Elcione Barbalho,PA,MDB,56
204364,Eli Borges,TO,SOLIDARIEDADE,56
160532,Eli Corrêa Filho,SP,DEM,56
204389,Elias Vaz,GO,PSB,56
178854,Elmar Nascimento,BA,DEM,56
198783,Emanuel Pinheiro Neto,MT,PTB,56
161550,Emidinho Madeira,MG,PSB,56
132504,Enio Verri,PR,PT,56
204537,Enrico Misasi,SP,PV,56
160575,Erika Kokay,DF,PT,56
160640,Eros Biondini,MG,PROS,56
204482,Euclydes Pettersen,MG,PSC,56
178871,Evair Vieira de Melo,ES,PP,56
178953,Expedito Netto,RO,PSD,56
68720,Fábio Henrique,SE,PDT,56
178969,Fábio Mitidieri,SE,PSD,56
141427,Fábio Ramalho,MG,MDB,56
171623,Fabio Reis,SE,MDB,56
204368,Fabio Schiochet,SC,PSL,56
160587,Fábio Trad,MS,PSD,56
66828,Fausto Pinato,SP,PP,56
204477,Felício Laterça,RJ,PSL,56
72442,Felipe Carreras,PE,PSB,56
204398,Felipe Francischini,PR,PSL,56
204371,Felipe Rigoni,ES,PSB,56
160666,Félix Mendonça Júnior,BA,PDT,56
204407,Fernanda Melchionna,RS,PSOL,56
141431,Fernando Coelho Filho,PE,DEM,56
92699,Fernando Monteiro,PE,PP,56
204427,Fernando Rodolfo,PE,PL,56
204411,Filipe Barros,PR,PSL,56
160598,Flávia Morais,GO,PDT,56
141434,Flaviano Melo,AC,MDB,56
191923,Flávio Nogueira,PI,PDT,56
204392,Francisco Jr.,GO,PSD,56
204510,Franco Cartafina,MG,PP,56
204494,Fred Costa,MG,PATRIOTA,56
204393,Frei Anastacio Ribeiro,PB,PT,56
74200,Gastão Vieira,MA,PROS,56
115746,Gelson Azevedo,RJ,PL,56
160669,Genecias Noronha,CE,SOLIDARIEDADE,56
204473,General Girão,RN,PSL,56
204484,General Peternelli,SP,PSL,56
204527,Geninho Zuliani,SP,DEM,56
178966,Geovania de Sá,SC,PSDB,56
