id,data,siglaOrgao,aprovacao
2183943-63,2019-02-13,PLEN,1
2183943-61,2019-02-13,PLEN,0
2183943-59,2019-02-13,PLEN,0
2183943-57,2019-02-13,PLEN,1
2183943-54,2019-02-13,PLEN,0
2183943-50,2019-02-13,PLEN,1
2183943-47,2019-02-13,PLEN,0
2183943-43,2019-02-13,PLEN,1
2183943-39,2019-02-13,PLEN,0
2183943-36,2019-02-13,PLEN,0
2191552-2,2019-02-12,CEXBRUMA,1
2191551-2,2019-02-12,CEXBRUMA,1
2191550-2,2019-02-12,CEXBRUMA,1
2191549-2,2019-02-12,CEXBRUMA,1
2191548-2,2019-02-12,CEXBRUMA,1
2191547-2,2019-02-12,CEXBRUMA,1
2191508-2,2019-02-12,CEXBRUMA,1
2191507-2,2019-02-12,CEXBRUMA,1
2191506-2,2019-02-12,CEXBRUMA,1
2191505-2,2019-02-12,CEXBRUMA,1
2191504-2,2019-02-12,CEXBRUMA,1
2191503-2,2019-02-12,CEXBRUMA,1
2183835-38,2019-02-12,PLEN,0
2179189-88,2019-02-12,PLEN,1
2179189-86,2019-02-12,PLEN,0
2179189-84,2019-02-12,PLEN,
2179189-82,2019-02-12,PLEN,
2179189-80,2019-02-12,PLEN,1
2179189-78,2019-02-12,PLEN,0
2179189-75,2019-02-12,PLEN,1
2179189-73,2019-02-12,PLEN,0
2179189-62,2019-02-12,PLEN,1
2179189-59,2019-02-12,PLEN,0
2179189-48,2019-02-12,PLEN,0
2179189-45,2019-02-12,PLEN,0
2198831-5,2019-04-24,CSPCCO,1
2173274-72,2019-04-24,PLEN,1
2173274-69,2019-04-24,PLEN,1
2173274-67,2019-04-24,PLEN,1
2199213-6,2019-04-24,PLEN,1
2187337-60,2019-04-24,PLEN,1
2187337-58,2019-04-24,PLEN,0
2187337-55,2019-04-24,PLEN,0
2187337-52,2019-04-24,PLEN,
2187337-48,2019-04-24,PLEN,1
2187337-47,2019-04-24,PLEN,1
2187337-44,2019-04-24,PLEN,1
2187337-40,2019-04-24,PLEN,0
2193540-139,2019-04-24,PLEN,1
2193540-137,2019-04-24,PLEN,0
2193540-135,2019-04-24,PLEN,0
2193540-130,2019-04-24,PLEN,0
2193540-126,2019-04-24,PLEN,1
2193540-118,2019-04-24,PLEN,0
16526-468,2019-04-24,PLEN,1
2193767-26,2019-04-24,PLEN,1
2173274-52,2019-04-24,PLEN,1
2193564-27,2019-04-24,PLEN,1
578426-51,2019-04-24,PLEN,1
327891-202,2019-04-24,PLEN,1
2168300-66,2019-04-24,PLEN,1
353631-175,2019-04-24,PLEN,1
2193540-116,2019-04-24,PLEN,1
2187337-36,2019-04-24,PLEN,1
2198981-3,2019-04-24,CSPCCO,1
2198466-3,2019-04-24,CSPCCO,1
2173985-31,2019-04-24,CTUR,1
2171624-34,2019-04-24,CTUR,1
2198976-2,2019-04-24,CLP,1
2198057-2,2019-04-24,CLP,1
2199046-2,2019-04-24,CTUR,1
2198960-2,2019-04-24,CTUR,1
2198603-2,2019-04-24,CTUR,1
